#{"t_start": 1758583306.6456592, "env_id": "None"}
r,l,t
2.1,40,54.359482
2.11,39,54.429189
2.07,43,54.501103
2.12,38,54.565368
2.14,36,54.626362
2.14,36,55.154274
2.12,38,55.22175
2.09,41,55.292803
2.13,37,55.359049
2.13,37,55.422616
2.16,34,55.48097
2.13,37,55.54528
2.13,37,55.609938
2.15,35,55.675958
2.13,37,55.74194
2.15,35,55.803532
2.14,36,55.868979
2.13,37,55.932931
2.12,38,55.997572
2.08,42,56.071632
2.15,35,56.131997
2.1,40,56.20153
2.11,39,56.269717
2.13,37,56.332875
2.13,37,56.39716
2.13,37,56.461269
2.08,42,56.532184
2.13,37,56.598164
2.05,45,56.675253
2.13,37,56.739707
2.12,38,56.808073
2.14,36,56.874133
2.13,37,57.415963
2.14,36,57.47959
2.11,39,57.548771
2.15,35,57.609311
2.15,35,57.669757
2.15,35,57.730759
2.12,38,57.798411
2.15,35,57.861464
2.11,39,57.934922
2.11,39,58.003564
2.14,36,58.065634
2.16,34,58.124388
2.14,36,58.187237
2.16,34,58.246532
2.13,37,58.310849
2.08,42,58.385786
2.16,34,58.449244
2.14,36,58.511852
2.12,38,58.576785
2.13,37,58.640688
2.12,38,58.705649
2.1,40,58.771868
2.15,35,58.83397
2.14,36,58.898509
2.12,38,58.969868
2.06,44,59.052236
2.11,39,59.119368
2.15,35,59.625522
2.12,38,59.689847
2.15,35,59.749459
2.15,35,59.809268
2.13,37,59.873851
2.14,36,59.937788
2.12,38,60.015726
2.16,34,60.079621
2.11,39,60.146674
2.08,42,60.218435
2.16,34,60.27893
2.11,39,60.351981
2.16,34,60.412007
2.12,38,60.479429
2.15,35,60.540331
2.14,36,60.602766
2.16,34,60.663174
2.14,36,60.726862
2.14,36,60.791529
2.15,35,60.853722
2.14,36,60.917843
2.11,39,60.98838
2.14,36,61.060457
2.14,36,61.125973
2.16,34,61.190046
2.12,38,61.263127
2.13,37,61.33021
2.12,38,61.395064
2.15,35,61.458059
2.11,39,62.044741
2.14,36,62.113229
2.13,37,62.178419
2.15,35,62.239498
2.13,37,62.30543
2.16,34,62.365117
2.15,35,62.426238
2.14,36,62.49038
2.14,36,62.556086
2.15,35,62.617005
2.12,38,62.682771
2.15,35,62.741969
2.13,37,62.805967
2.16,34,62.865027
2.14,36,62.926648
2.15,35,62.986578
