#{"t_start": 1758580292.432392, "env_id": "None"}
r,l,t
-0.28,29,74.908652
-0.55,56,75.010767
-0.34,35,75.074503
-0.18,19,75.108086
-0.57,8,75.122658
-0.46,47,75.207086
-0.34,35,75.268927
-0.22,23,75.309673
-0.42,43,75.823671
-0.1,11,75.843078
-0.55,6,75.854373
-0.14,15,75.881237
-0.45,46,75.962232
-0.51,2,75.96578
-0.1,11,75.98505
-0.59,10,76.002626
-0.2,21,76.040676
-0.51,2,76.044675
-0.41,42,76.12399
-0.18,19,76.157047
-0.1,11,76.176829
-0.5,51,76.267811
-0.12,13,76.291502
-0.24,25,76.33529
-0.34,35,76.396502
-0.26,27,76.443051
-0.32,33,76.502416
-0.2,21,76.539291
-0.41,42,76.613907
-0.2,21,76.650648
-0.64,15,76.676983
-0.53,4,76.683912
-0.5,1,76.685711
-0.56,7,76.69798
-0.62,13,76.721476
-0.39,40,76.792954
-0.52,3,76.799032
-0.21,22,76.838938
-0.31,32,76.895798
-0.36,37,76.96168
-0.5,1,76.963609
-0.62,13,76.986781
-0.16,17,77.017007
-0.44,45,77.101133
-0.35,36,77.16769
-0.09,10,77.185125
-0.29,30,77.25057
-0.21,22,77.296776
-0.7,71,77.424694
-0.39,40,77.4984
-0.57,8,77.513283
-0.32,33,77.574381
-0.54,5,77.583743
-0.17,18,77.616328
-0.57,8,77.6303
-0.11,12,77.652128
-0.2,21,78.165316
-0.13,14,78.191596
-0.57,58,78.293668
-0.21,22,78.333047
-0.52,3,78.338357
-0.58,9,78.354791
-0.2,21,78.392299
-0.28,29,78.443384
-0.35,36,78.509617
-0.17,18,78.541781
-0.5,1,78.543721
-0.18,19,78.576831
-0.56,57,78.678973
-0.27,28,79.268632
-0.56,57,79.370969
-0.67,18,79.403687
-0.34,35,79.465727
-0.24,25,79.510302
-0.49,50,79.598488
-0.19,20,79.634426
-0.36,37,79.699567
-0.31,32,79.756639
-0.14,15,79.783841
-0.16,17,79.814233
-0.31,32,79.871362
-0.18,19,79.905689
-0.21,22,79.945338
-0.51,52,80.039943
-0.33,34,80.104044
-0.25,26,80.150196
-0.89,90,80.318657
-0.19,20,80.354781
-0.51,52,80.448389
-0.13,14,80.474817
-0.3,31,80.530974
-0.26,27,81.021286
-0.34,35,81.083974
-0.58,59,81.191118
-0.15,16,81.220138
-0.25,26,81.271521
-0.29,30,81.329123
-0.35,36,81.393754
-0.5,1,81.395584
-0.4,41,81.469461
-0.43,44,81.548607
-0.5,51,81.639
-0.52,3,81.64447
-0.19,20,81.680942
-0.35,36,81.745379
-0.53,4,81.752341
-0.61,12,81.774539
-0.56,7,81.787988
-0.07,8,81.802756
-0.24,25,81.848112
-0.27,28,81.898492
-0.13,14,81.923604
-0.2,21,81.961359
-0.28,29,82.012398
-0.46,47,82.095883
-0.25,26,82.142929
-0.55,6,82.154107
-0.55,56,82.255069
-0.26,27,82.304122
-0.27,28,82.358938
-0.16,17,82.389361
-0.12,13,82.412364
-0.42,43,82.489963
-0.09,10,82.507826
-0.58,9,82.52449
-0.53,54,82.621121
-4.48,449,83.888287
-0.13,14,83.914104
-0.51,2,83.918107
-0.62,63,84.02998
-0.2,21,84.068326
-0.16,17,84.098001
-0.27,28,84.147326
-0.12,13,84.170867
-0.17,18,84.202762
-0.43,44,84.281564
-0.33,34,84.342295
-0.41,42,84.421994
-0.42,43,84.504345
-0.11,12,84.525698
-0.55,6,84.537512
-0.38,39,84.609652
-0.23,24,84.654844
-0.03,4,84.662733
-0.28,29,84.721879
-0.74,75,84.86234
-0.27,28,84.914134
-0.22,23,84.955411
-0.18,19,84.990097
-0.18,19,85.023763
-0.32,33,85.08329
-0.54,5,85.093001
-0.42,43,85.665438
-0.2,21,85.704446
-0.18,19,85.738931
-0.15,16,85.768266
-0.16,17,85.798829
-0.18,19,85.834455
-0.67,18,85.868916
-0.18,19,85.903159
-0.58,9,85.91981
-0.34,35,85.981934
-0.06,7,85.994379
-0.2,21,86.033247
-0.5,51,86.127254
-0.15,16,86.156802
-0.17,18,86.19022
-0.21,22,86.231294
-0.18,19,86.266347
-0.19,20,86.303442
-0.39,40,86.377752
-0.14,15,86.40562
-0.26,27,86.45452
-0.3,31,86.51625
-0.1,11,86.537235
-0.1,11,86.558259
-0.15,16,86.588143
-0.25,26,86.634196
-0.41,42,86.719476
-0.33,34,86.782908
-0.79,80,86.927055
-0.73,74,87.063312
-0.13,14,87.089332
-0.16,17,87.120517
-0.5,1,87.122439
-0.36,37,87.190183
-0.18,19,87.224086
-0.09,10,87.241766
-0.44,45,87.323248
-0.15,16,87.352327
-9.5,1000,89.727633
