#{"t_start": 1758576410.4097598, "env_id": "None"}
r,l,t
-3.2400124,574,11.082855
-2.3099961,481,11.082897
-0.91999984,43,11.086777
0.5700012,193,11.111057
0.100001216,240,11.112927
1.3800004,112,11.137558
-6.7900934,929,11.14124
-1.9899988,200,11.148407
-0.26999843,277,11.171441
-0.49999994,51,11.178514
-0.16999865,267,11.187467
0.060001135,244,11.194556
-1.4199994,93,11.218898
-0.46999988,48,11.237788
-1.1499996,116,11.239637
1.2100003,129,11.31284
0.77000046,173,11.368483
-1.8199991,183,11.392217
0.8100004,169,11.394049
-1.6099992,162,11.408243
-0.9899999,100,11.418784
1.1300005,137,11.429152
-0.75,26,11.441198
-0.41999987,43,11.44639
1.2100004,129,11.451623
0.4700011,203,11.458615
0.9000004,160,11.48613
0.69000065,181,11.500318
0.320001,218,11.537751
0.5000011,200,11.552303
0.65000045,185,11.573876
-0.82999986,84,11.599484
-0.66999984,68,11.610604
1.3200003,118,11.624071
0.5300008,197,11.672912
-1.4299994,144,11.693156
-0.61999774,312,11.707838
0.6600007,184,11.729148
-1.3999994,141,11.761049
0.6200007,188,11.785405
-1.7999986,181,11.790731
-1.0899993,110,11.811682
-1.1899996,120,11.83968
-1.0499997,106,11.864101
-0.8799998,89,11.919719
0.4100008,209,11.931794
0.5100007,199,11.961027
-0.96999985,98,11.966717
-0.569998,307,11.975903
0.75000066,175,12.007778
1.3600003,114,12.016635
-0.3299985,283,12.050215
-0.8399998,85,12.118565
-0.7,71,12.132203
-3.0400083,554,12.172011
-0.86999977,88,12.187585
0.010001421,249,12.229742
-1.0099998,102,12.243788
-1.8299986,184,12.24734
-0.39999986,41,12.259597
0.42000127,208,12.266616
-0.3299986,283,12.268762
-0.99999964,101,12.286792
1.1300002,137,12.316695
-0.8499999,86,12.327285
-1.0499998,106,12.329108
-1.4999967,400,12.350251
-0.49999988,51,12.360762
-1.9099988,192,12.364584
-0.46999776,297,12.371574
1.8500006,65,12.376849
-2.4499965,495,12.402142
-1.1499996,116,12.479415
-0.33999836,284,12.486982
-1.0999997,111,12.524269
1.3800002,112,12.537658
-0.9599998,97,12.549334
-0.83,84,12.56306
0.19000149,231,12.568707
1.3400002,116,12.57078
-1.7099992,172,12.607797
0.5000016,200,12.618855
0.4200009,208,12.637852
0.9900005,151,12.648548
-0.74,25,12.656095
0.61000085,189,12.68527
-0.77999985,79,12.687145
0.67000055,183,12.717533
-1.1499996,116,12.742654
1.5700006,93,12.744485
-0.36999822,287,12.764101
0.9500004,155,12.77294
1.2500005,125,12.793845
1.1300002,137,12.802618
1.5400003,96,12.82865
-0.6999999,71,12.844274
1.3200002,118,12.851459
1.1000004,140,13.36084
-0.27999806,278,13.383963
-1.3699994,138,13.390764
-0.57,8,13.402681
1.2600002,124,13.402733
-2.309998,232,13.411917
-1.0899997,110,13.437379
-0.57999986,59,13.449489
1.0000006,150,13.4563
1.5500003,95,13.472321
1.5000004,100,13.472366
0.21000123,229,13.48528
-0.8699999,88,13.487361
-0.77999985,79,13.515994
-0.37999985,39,13.529285
1.0800002,142,13.529335
-0.76,77,13.538398
0.84000075,166,13.564066
1.6800005,82,13.567804
1.8400004,66,13.573147
0.6600009,184,13.574978
-0.80999994,82,13.590987
1.4100004,109,13.609118
-0.42,43,13.609162
-1.3499994,136,13.657952
1.4900006,101,13.659808
-0.77999985,79,13.661642
-0.51999986,53,13.665241
-0.9899998,50,13.667107
1.3800006,112,13.692466
1.21,129,13.712677
1.4100003,109,13.731583
1.5600004,94,13.739124
-0.69999987,71,13.740957
0.29000175,221,13.756926
1.2800003,122,13.763921
1.5400004,96,13.769731
1.4100003,109,13.7751
1.5800004,92,13.830804
1.5600003,94,13.83276
-1.2299995,124,13.836585
-0.66999984,68,13.836628
-0.99999964,101,13.844022
1.4800004,102,13.854889
1.5400002,96,13.869082
0.43000126,207,13.869124
1.6700006,83,13.888439
-1.2699996,128,13.89895
-0.7199999,73,13.90082
1.7100004,79,13.918432
1.3900003,111,13.957576
1.4000003,110,13.962898
1.6500006,85,13.985771
-0.6699999,68,13.992974
0.9600006,154,14.021738
1.4800005,102,14.041656
1.4500003,105,14.079993
1.2500001,125,14.095583
1.5600003,94,14.133728
0.81000036,169,14.143092
0.77000105,173,14.146708
-0.7199999,73,14.171349
1.0200003,148,14.185184
0.8600005,164,14.195621
1.33,117,14.195652
0.4900012,201,14.19919
0.47000122,203,14.20963
0.700001,180,14.227151
0.9400005,156,14.239707
1.1200004,138,14.241764
1.4600003,104,14.26653
1.7400006,76,14.270155
-0.8199998,83,14.291167
1.3900001,111,14.294723
-0.7499974,325,14.317204
1.7000005,80,14.340432
0.70000076,180,14.343996
1.5800004,92,14.351923
-0.8199998,83,14.360765
1.4700005,103,14.382133
1.1700003,133,14.385747
1.6500005,85,14.392719
1.4400004,106,14.431064
1.0400004,146,14.434886
1.3600004,114,14.477374
1.3000001,120,14.485753
1.5300003,97,14.52989
0.79000056,171,14.542349
1.4500002,105,14.557393
1.5100006,99,14.578823
0.43000114,207,14.580678
0.8800004,162,14.591485
-1.6199993,163,14.596983
-1.4899989,150,14.597019
1.1000004,140,14.60418
-1.4299994,144,14.607762
-0.65000004,66,14.609585
1.1400003,136,14.63765
1.4000001,110,14.639491
-1.1999996,121,14.659202
1.5000002,100,14.664536
1.7700007,73,14.728192
1.8200004,68,14.730018
0.5800007,192,14.735325
1.6600003,84,14.742358
-0.46999988,48,14.749404
-0.69,70,14.767024
1.5300003,97,14.784995
-1.3399993,135,14.800844
0.9800002,152,14.808042
1.5500003,95,14.809889
0.9800003,152,14.816983
1.2400001,126,14.824097
1.5700004,93,14.825944
1.0700002,143,14.838836
1.1500003,135,14.847683
1.0000005,150,14.849567
-0.5099998,52,14.860186
-0.7399999,75,14.88757
-0.9399997,95,14.904214
1.5100003,99,14.909629
-1.0299997,104,14.932661
-0.87999976,89,14.946817
-0.52999985,54,14.959326
-0.8499999,86,14.96645
1.5200001,98,14.987505
-0.62000006,63,15.004266
1.5400006,96,15.00432
0.9400004,156,15.022888
1.4300001,107,15.022951
-1.3099995,132,15.044008
1.5100002,99,15.086063
1.4900002,101,15.094905
1.6900003,81,15.097146
1.1100003,139,15.104821
-0.77,78,15.10487
-0.76999986,78,15.111979
0.7400004,176,15.140581
-0.30999982,32,15.152894
-0.8499999,86,15.177288
1.1500001,135,15.179095
-0.7600001,77,15.182691
1.5100002,99,15.202315
1.3800002,112,15.207616
0.4800012,202,15.220591
1.1400003,136,15.23754
1.1600002,134,15.684278
1.7500005,75,15.684329
-0.6299999,64,15.693269
0.21000183,229,15.695117
1.5400002,96,15.714453
1.4800001,102,15.725018
1.5700002,93,15.758843
1.2200003,128,15.767481
1.7900004,71,15.769671
1.1400001,136,15.771735
1.6200004,88,15.806118
1.4300002,107,15.813027
1.7600005,74,15.820033
1.6400002,86,15.830468
-1.1499996,116,15.832586
1.4600002,104,15.846676
1.6200002,88,15.853718
1.1900003,131,15.85375
1.5900003,91,15.860726
1.8000004,70,15.888421
1.8200004,68,15.892036
1.7800003,72,15.901028
1.5300004,97,15.904768
1.5500003,95,15.943182
1.6800002,82,15.953643
1.7200005,78,15.974682
-0.8499998,86,15.976647
0.91000074,159,16.005733
1.6800004,82,16.011057
1.6200004,88,16.014652
-0.38999987,40,16.016481
1.5600003,94,16.018341
0.55000126,195,16.039893
1.7500005,75,16.039945
1.6600003,84,16.04388
1.0900004,141,16.069965
1.8600005,64,16.071822
1.5400002,96,16.075392
1.4400002,106,16.082694
-1.3399994,135,16.101952
1.8500004,65,16.136069
1.8800005,62,16.15693
1.5000002,100,16.158766
0.690001,181,16.160576
1.6100005,89,16.172826
1.5700003,93,16.174652
1.7400005,76,16.178213
1.8900005,61,16.180066
1.9000005,60,16.180095
1.9400005,56,16.181981
