#{"t_start": 1758577206.2161815, "env_id": "None"}
r,l,t
2.03,47,49.052886
2.16,34,49.11683
2.14,36,49.18245
2.17,33,49.243323
2.15,35,49.306283
2.17,33,49.365328
2.15,35,49.428557
2.18,32,49.48615
2.16,34,49.549789
2.14,36,49.613596
2.15,35,49.770798
2.13,37,49.840531
2.14,36,49.904812
2.14,36,49.967593
2.16,34,50.027331
2.16,34,50.086618
2.16,34,50.145932
2.15,35,50.206754
2.1,40,50.27666
2.18,32,50.334618
2.18,32,50.395002
2.17,33,50.459605
2.16,34,50.524386
2.15,35,50.59717
2.18,32,51.100913
2.14,36,51.167777
2.14,36,51.234929
2.13,37,51.301152
2.15,35,51.367671
2.18,32,51.429304
2.15,35,51.496872
2.18,32,51.55624
2.11,39,51.629807
2.14,36,51.694819
2.09,41,51.768754
2.17,33,51.832108
2.16,34,51.900176
2.16,34,51.9659
2.17,33,52.027147
2.16,34,52.087308
2.17,33,52.146238
2.15,35,52.208925
2.13,37,52.275153
2.15,35,52.337981
2.18,32,52.396129
2.16,34,52.464422
2.18,32,52.528136
2.13,37,52.602425
2.16,34,52.666931
2.18,32,52.724113
2.17,33,52.782392
2.11,39,52.852723
2.1,40,52.926695
2.17,33,53.424249
2.12,38,53.492589
2.14,36,53.5594
2.04,46,53.641025
2.17,33,53.704487
2.17,33,53.76553
2.17,33,53.826515
2.15,35,53.892556
2.14,36,53.965662
2.16,34,54.030577
2.16,34,54.094493
2.16,34,54.158999
2.16,34,54.221232
2.15,35,54.283223
2.16,34,54.345839
2.16,34,54.406028
2.17,33,54.46377
2.12,38,54.531663
2.16,34,54.59559
2.15,35,54.657161
2.18,32,54.719028
2.16,34,54.786098
2.17,33,54.847473
2.17,33,54.90984
2.18,32,54.967815
2.16,34,55.030115
2.18,32,55.085647
2.12,38,55.152438
2.18,32,55.209648
2.17,33,55.267773
2.18,32,55.817211
2.17,33,55.878234
2.17,33,55.93685
2.15,35,55.999939
2.18,32,56.06023
