#{"t_start": 1758581180.9858956, "env_id": "None"}
r,l,t
-0.53,4,67.863688
-1.17,68,67.989543
-1.34,135,68.232826
-1.3,81,68.383218
-0.73,24,68.424361
-0.52,3,68.429627
-0.66,17,68.460407
-1.14,65,68.57443
-1.31,82,69.159386
-0.85,36,69.222613
-0.51,2,69.226292
-0.82,33,69.284427
-0.61,12,69.305792
-0.65,16,69.333982
-0.59,10,69.351827
-0.98,49,69.449383
-2.04,155,69.728073
-0.5,1,69.730061
-0.62,13,69.753086
-0.66,17,69.783377
-0.6,11,69.802624
-0.55,6,69.814503
-0.33,34,69.875328
-0.6,11,69.895254
-0.53,4,69.902358
-0.55,6,69.914488
-1.99,200,70.272015
-0.67,18,70.303627
-0.99,100,70.490038
-1.22,73,70.618338
-1.3,81,70.762555
-3.32,333,71.353631
-0.7,21,71.39299
-0.55,6,71.404023
-0.52,3,71.409788
-0.56,7,71.423194
-0.76,27,73.528651
-0.95,46,73.620744
-0.55,56,73.725927
-0.6,11,73.745769
-0.83,34,73.808514
-0.72,73,73.946967
-0.53,4,73.954822
-0.96,47,74.03905
-0.7,21,74.076465
-1.0,51,74.165989
-0.72,23,74.207605
-0.62,13,74.230776
-0.39,40,74.301754
-0.56,7,74.313845
-0.51,2,74.31741
-0.58,9,74.333042
-1.05,56,74.43087
-0.51,2,74.434877
-2.1,161,74.721692
-0.77,28,74.772852
-0.7,21,74.810185
-0.97,48,75.363651
-0.53,4,75.37098
-0.32,33,75.428012
-0.19,20,75.463051
-3.06,257,75.922381
-0.73,24,75.964448
-0.65,16,75.99235
-0.62,13,76.01517
-0.95,46,76.094615
-0.74,75,76.226602
-0.87,88,76.38192
-0.54,5,76.390957
-0.18,19,76.424463
-0.64,15,76.450558
-0.72,23,76.491945
-0.82,33,76.551468
-0.72,73,76.68556
-0.93,44,76.784903
-0.64,15,76.814208
-0.32,33,76.874823
-1.44,95,77.04315
-0.56,7,77.05565
-0.6,11,77.07533
-0.6,11,77.094779
-0.62,13,77.120575
-0.61,12,77.142459
-0.6,11,77.161327
-0.92,43,77.237976
-0.51,2,77.242543
-0.11,12,77.264256
-0.84,35,77.325984
-0.63,64,77.445071
-6.17,618,78.534854
-0.61,12,78.557248
-1.35,86,78.709071
-1.09,110,78.90607
-1.71,172,79.65983
-0.64,65,79.867383
-1.27,128,80.091961
-0.41,42,80.166457
-0.61,12,80.187952
-0.35,36,80.25056
-0.54,5,80.259292
-0.2,21,80.296411
-0.27,28,80.345535
-0.68,19,80.378771
-1.27,128,80.602222
-0.51,2,80.605792
-0.76,77,80.743265
-0.68,19,80.776447
-0.65,16,80.806381
-1.01,52,80.900963
-0.41,42,80.976985
-0.46,47,81.062547
-0.53,4,81.069601
-0.72,73,81.198067
-0.88,39,81.265443
-3.17,318,81.82236
-0.59,10,81.840346
-0.65,16,81.868955
-1.11,62,81.98335
-0.59,10,82.000679
-6.92,693,83.700974
-0.69,20,83.737225
-0.12,13,83.760382
-1.0,51,83.851012
-0.83,34,83.912773
-0.61,12,83.934385
-0.21,22,83.974622
-0.13,14,84.002263
-0.62,13,84.027152
-1.01,52,84.12316
-0.72,23,84.163209
-0.59,10,84.181433
-0.54,5,84.190149
-0.71,22,84.228181
-0.75,76,84.362721
-0.54,5,84.371949
-0.56,7,84.384145
-0.63,14,84.408998
-0.64,15,84.435513
-0.52,3,84.441051
-0.95,46,84.523455
-0.54,5,84.53224
-1.44,95,84.701187
-0.99,50,84.790437
-0.76,27,84.838649
-3.29,330,85.434416
-0.67,18,85.465561
-0.82,83,85.61262
-0.61,12,85.633467
-0.16,17,85.664619
-4.01,402,86.381857
-0.46,47,86.463614
-0.47,48,86.547817
-1.78,129,86.775704
-0.73,24,86.819778
-0.18,19,86.8531
-0.6,11,86.872358
-0.63,64,86.986871
-0.55,6,86.997458
-0.11,12,87.019198
-0.63,14,87.045279
-0.52,3,87.050673
-0.73,24,87.092721
-0.73,24,87.134609
-0.81,32,87.195597
-1.23,74,87.755867
0.56,194,88.096057
-0.83,34,88.155694
-0.66,17,88.185701
-1.0,51,88.291078
-0.19,20,88.326949
-0.59,10,88.3444
-0.61,12,88.365639
-0.93,44,88.442429
-1.52,103,88.62415
-0.71,22,88.66321
-1.1,61,88.769832
-0.74,25,88.814011
-0.53,4,88.821275
-0.53,4,88.82869
-0.73,24,88.870554
-0.51,2,88.874057
-1.38,89,89.033138
-0.57,8,89.048162
-0.56,7,89.060197
-1.06,57,89.160429
-0.2,21,89.19757
-0.7,21,89.235405
-0.51,2,89.238931
-0.59,10,89.259379
-0.77,28,89.311801
-0.62,13,89.33453
-0.58,9,89.350412
-0.69,20,89.385581
-0.7,21,89.422639
-0.59,10,89.441617
-0.87,38,89.508654
-0.85,36,89.57358
-0.63,14,89.598716
-1.47,98,89.776252
-0.55,6,89.788476
-0.57,8,89.804678
-0.88,39,89.87452
-0.66,17,89.906267
-0.75,26,89.952672
-0.52,3,89.9581
-0.26,27,90.006723
-0.15,16,90.037108
-0.6,11,90.056938
-0.67,18,90.091944
-0.59,10,90.110544
-3.51,352,90.759326
-0.54,5,90.768858
-0.57,8,90.783289
-0.21,22,90.82243
-0.74,25,90.867618
-1.82,133,91.1066
-0.78,29,91.157485
-0.93,44,91.235618
-0.54,5,91.245003
-0.75,26,91.291589
-1.13,114,92.024799
-0.72,23,92.070538
-0.75,26,92.120408
-0.55,6,92.131139
-1.01,52,92.225013
-0.71,22,92.263597
-0.66,17,92.293902
-0.6,11,92.313654
-0.54,5,92.322811
-0.67,18,92.354705
-0.57,8,92.368821
-1.23,74,92.506494
-0.57,8,92.521166
-0.79,30,92.573533
-0.51,52,92.666047
-1.06,57,92.770531
-1.01,52,92.86565
-0.76,77,93.003584
-0.74,25,93.048748
-0.57,8,93.06299
-0.57,8,93.077229
-0.71,22,93.116377
-1.06,57,93.218493
-0.77,28,93.268921
-0.55,6,93.279547
-0.66,17,93.310309
-0.66,17,93.341603
-0.86,37,93.409072
-0.75,26,93.462512
-0.45,46,93.546167
-0.79,30,93.599635
-0.77,28,93.649288
-0.56,7,93.662427
-0.49,50,93.752237
-0.7,21,93.790516
-0.99,50,95.55887
-0.67,18,95.594141
-0.14,15,95.624946
-0.4,41,95.704353
-0.58,9,95.72241
-0.76,27,95.775536
-0.53,4,95.783742
-0.24,25,95.892432
-0.74,25,95.942445
-0.89,40,96.01967
-0.7,21,96.061526
-0.6,11,96.083259
-0.17,18,96.11709
-0.48,49,96.219583
-0.89,40,96.295219
-0.66,17,96.327441
-0.53,4,96.335745
-0.6,11,96.356527
-0.83,34,96.421978
-0.51,2,96.425751
-0.6,11,96.447925
-0.16,17,96.483545
-0.6,11,96.524565
-0.08,9,96.544957
-0.09,10,96.564945
-0.6,11,96.588457
-0.58,9,96.60878
-0.76,27,96.660215
-0.85,36,96.729362
-0.68,19,96.764425
-0.68,69,96.890185
-0.66,17,96.92219
-0.47,48,97.010911
-0.49,50,97.103311
-0.19,20,97.139703
-0.68,19,97.173003
-0.75,26,97.223408
-0.58,9,97.239719
-1.11,62,97.351524
-0.23,24,97.394178
-0.6,11,97.41378
-0.91,42,98.509
-0.86,37,98.599443
-0.13,14,98.632958
-0.58,9,98.653872
-0.62,63,98.833798
-0.54,5,98.84848
-0.56,7,98.866454
-1.14,115,99.118835
-0.81,32,99.185428
-0.64,15,99.214688
-0.55,6,99.2277
-0.65,16,99.263252
-0.86,37,99.333552
